geoid,bimonth_id,counts,lat,long,season_indicator,year
0,148,0.0,28.011651425604875,-97.0296832434519,3,2000
1,148,0.0,28.029695246655514,-97.02935459706651,3,2000
2,148,0.0,28.04773901674972,-97.02902564650692,3,2000
3,148,0.0,28.065782735863724,-97.02869639155665,3,2000
4,148,0.0,28.08382640397377,-97.02836683199894,3,2000
5,148,0.0,28.10187002105609,-97.02803696761677,3,2000
6,148,0.0,28.11991358708697,-97.02770679819281,3,2000
7,148,0.0,28.13795710204268,-97.02737632350946,3,2000
8,148,0.0,28.15600056589953,-97.02704554334882,3,2000
9,148,0.0,28.02940198756349,-97.0090200327905,3,2000
10,148,0.0,28.04744553600651,-97.00868769331778,3,2000
11,148,0.0,28.06548903339722,-97.00835504632123,3,2000
12,148,0.0,28.08353247971177,-97.00802209158184,3,2000
13,148,0.0,28.101575874926333,-97.00768882888035,3,2000
14,148,0.0,28.119619219017096,-97.00735525799723,3,2000
15,148,0.0,28.13766251196026,-97.00702137871264,3,2000
16,148,0.0,28.15570575373205,-97.00668719080643,3,2000
17,148,0.0,28.173748944308688,-97.00635269405822,3,2000
18,148,0.0,28.04714904653821,-96.98835004765245,3,2000
19,148,0.0,28.065192319933743,-96.98801400882856,3,2000
20,148,0.0,28.0832355421802,-96.98767765912673,3,2000
21,148,0.0,28.10127871325365,-96.98734099832552,3,2000
22,148,0.0,28.11932183313021,-96.98700402620308,3,2000
23,148,0.0,28.137364901786,-96.98666674253738,3,2000
24,148,0.0,28.15540791919716,-96.98632914710603,3,2000
25,148,0.0,28.173450885339836,-96.98599123968641,3,2000
26,148,0.0,28.046849548514817,-96.96801271264377,3,2000
27,148,0.0,28.064892595643474,-96.96767328221378,3,2000
28,148,0.0,28.082935591549386,-96.96733353777104,3,2000
29,148,0.0,28.100978536208537,-96.96699347909183,3,2000
30,148,11.0,28.11902142959697,-96.96665310595216,3,2000
31,148,2.0,28.137064271690726,-96.9663124181277,3,2000
32,148,8.0,28.155107062465856,-96.96597141539387,3,2000
33,148,4.0,28.173149801898422,-96.96563009752577,3,2000
34,148,0.0,28.064589860698298,-96.94733286961169,3,2000
35,148,0.0,28.08263262799138,-96.94698973065174,3,2000
36,148,0.0,28.10067534396322,-96.94664627431857,3,2000
37,148,8.0,28.118718008589777,-96.94630250038597,3,2000
38,148,3.0,28.136760621846996,-96.94595840862736,3,2000
39,148,4.0,28.154803183710865,-96.94561399881594,3,2000
40,148,4.0,28.17284569415736,-96.94526927072457,3,2000
41,148,5.0,28.082326651679974,-96.92664624090558,3,2000
42,148,0.0,28.100369136691658,-96.92629938714471,3,2000
43,148,4.0,28.118411570282742,-96.9259522126457,3,2000
44,148,9.0,28.13645395242911,-96.92560471717978,3,2000
45,148,11.0,28.154496283106653,-96.9252569005179,3,2000
46,148,0.0,28.172538562291262,-96.92490876243066,3,2000
47,148,6.0,28.100059914569503,-96.90595282070895,3,2000
48,148,1.0,28.118102114851713,-96.9056022458723,3,2000
49,148,4.0,28.13614426361307,-96.90525134692814,3,2000
50,148,20.0,28.15418636082939,-96.90490012364516,3,2000
51,148,2.0,28.172228406476485,-96.90454857579175,3,2000
52,148,0.0,28.190270400530185,-96.904196703136,3,2000
53,148,28.0,28.09974767777417,-96.88560657814963,3,2000
54,148,1.0,28.117789642474257,-96.88525260320637,3,2000
55,148,0.0,28.13583155557663,-96.88489830101526,3,2000
56,148,22.0,28.153873417057,-96.8845436713428,3,2000
57,148,31.0,28.171915226891116,-96.88418871395511,3,2000
58,148,4.0,28.189956985054717,-96.88383342861806,3,2000
59,148,10.0,28.11747415332967,-96.86490328778821,3,2000
60,148,0.0,28.135515828499237,-96.8645455825837,3,2000
61,148,0.0,28.153557451969128,-96.86418754675559,3,2000
62,148,10.0,28.17159902371498,-96.86382918006778,3,2000
63,148,47.0,28.189640543712454,-96.8634704822839,3,2000
64,148,0.0,28.13519708256211,-96.8441931947757,3,2000
65,148,0.0,28.15323846574714,-96.84383175302803,3,2000
66,148,0.0,28.171279797129614,-96.84346997727648,3,2000
67,148,32.0,28.189321076685104,-96.84310786728247,3,2000
68,148,0.0,28.13487531794817,-96.82384114073321,3,2000
69,148,2.0,28.152916458574143,-96.82347629330428,3,2000
70,148,2.0,28.17095754731831,-96.82311110872763,3,2000
71,148,0.0,28.18899858415615,-96.82274558676241,3,2000
72,148,1.0,28.152591430634963,-96.80312117072819,3,2000
73,148,3.0,28.170632274466065,-96.8027525775673,3,2000
74,148,2.0,28.18867306631076,-96.80238364387206,3,2000
75,148,0.0,28.206713806144464,-96.80201436939903,3,2000
76,148,14.0,28.17030397875962,-96.7823943869413,3,2000
77,148,15.0,28.188344523335857,-96.78202204175946,3,2000
78,148,0.0,28.20638501582018,-96.78164935265214,3,2000
79,148,2.0,28.16997266038744,-96.76203653999507,3,2000
80,148,8.0,28.188012955420085,-96.7616607835723,3,2000
81,148,0.0,28.20605319827917,-96.76128468007666,3,2000
82,148,22.0,28.187678362753832,-96.74129987245796,3,2000
83,148,0.0,28.205718353711987,-96.74092035482225,3,2000
84,148,0.0,28.20538048231092,-96.72055638003818,3,2000
85,148,3.0,28.223079012152006,-96.69980605694319,3,2000
86,148,4.0,28.222734828855433,-96.67943937601618,3,2000
0,149,0.0,28.011651425604875,-97.0296832434519,5,2001
1,149,0.0,28.029695246655514,-97.02935459706651,5,2001
2,149,0.0,28.04773901674972,-97.02902564650692,5,2001
3,149,0.0,28.065782735863724,-97.02869639155665,5,2001
4,149,0.0,28.08382640397377,-97.02836683199894,5,2001
5,149,0.0,28.10187002105609,-97.02803696761677,5,2001
6,149,0.0,28.11991358708697,-97.02770679819281,5,2001
7,149,0.0,28.13795710204268,-97.02737632350946,5,2001
8,149,0.0,28.15600056589953,-97.02704554334882,5,2001
9,149,0.0,28.02940198756349,-97.0090200327905,5,2001
10,149,0.0,28.04744553600651,-97.00868769331778,5,2001
11,149,0.0,28.06548903339722,-97.00835504632123,5,2001
12,149,0.0,28.08353247971177,-97.00802209158184,5,2001
13,149,0.0,28.101575874926333,-97.00768882888035,5,2001
14,149,0.0,28.119619219017096,-97.00735525799723,5,2001
15,149,0.0,28.13766251196026,-97.00702137871264,5,2001
16,149,2.0,28.15570575373205,-97.00668719080643,5,2001
17,149,0.0,28.173748944308688,-97.00635269405822,5,2001
18,149,0.0,28.04714904653821,-96.98835004765245,5,2001
19,149,0.0,28.065192319933743,-96.98801400882856,5,2001
20,149,0.0,28.0832355421802,-96.98767765912673,5,2001
21,149,0.0,28.10127871325365,-96.98734099832552,5,2001
22,149,0.0,28.11932183313021,-96.98700402620308,5,2001
23,149,0.0,28.137364901786,-96.98666674253738,5,2001
24,149,0.0,28.15540791919716,-96.98632914710603,5,2001
25,149,0.0,28.173450885339836,-96.98599123968641,5,2001
26,149,0.0,28.046849548514817,-96.96801271264377,5,2001
27,149,0.0,28.064892595643474,-96.96767328221378,5,2001
28,149,0.0,28.082935591549386,-96.96733353777104,5,2001
29,149,0.0,28.100978536208537,-96.96699347909183,5,2001
30,149,2.0,28.11902142959697,-96.96665310595216,5,2001
31,149,0.0,28.137064271690726,-96.9663124181277,5,2001
32,149,4.0,28.155107062465856,-96.96597141539387,5,2001
33,149,4.0,28.173149801898422,-96.96563009752577,5,2001
34,149,0.0,28.064589860698298,-96.94733286961169,5,2001
35,149,0.0,28.08263262799138,-96.94698973065174,5,2001
36,149,0.0,28.10067534396322,-96.94664627431857,5,2001
37,149,5.0,28.118718008589777,-96.94630250038597,5,2001
38,149,0.0,28.136760621846996,-96.94595840862736,5,2001
39,149,3.0,28.154803183710865,-96.94561399881594,5,2001
40,149,2.0,28.17284569415736,-96.94526927072457,5,2001
41,149,0.0,28.082326651679974,-96.92664624090558,5,2001
42,149,2.0,28.100369136691658,-96.92629938714471,5,2001
43,149,0.0,28.118411570282742,-96.9259522126457,5,2001
44,149,12.0,28.13645395242911,-96.92560471717978,5,2001
45,149,0.0,28.154496283106653,-96.9252569005179,5,2001
46,149,0.0,28.172538562291262,-96.92490876243066,5,2001
47,149,6.0,28.100059914569503,-96.90595282070895,5,2001
48,149,10.0,28.118102114851713,-96.9056022458723,5,2001
49,149,9.0,28.13614426361307,-96.90525134692814,5,2001
50,149,14.0,28.15418636082939,-96.90490012364516,5,2001
51,149,0.0,28.172228406476485,-96.90454857579175,5,2001
52,149,0.0,28.190270400530185,-96.904196703136,5,2001
53,149,31.0,28.09974767777417,-96.88560657814963,5,2001
54,149,5.0,28.117789642474257,-96.88525260320637,5,2001
55,149,2.0,28.13583155557663,-96.88489830101526,5,2001
56,149,17.0,28.153873417057,-96.8845436713428,5,2001
57,149,33.0,28.171915226891116,-96.88418871395511,5,2001
58,149,9.0,28.189956985054717,-96.88383342861806,5,2001
59,149,4.0,28.11747415332967,-96.86490328778821,5,2001
60,149,0.0,28.135515828499237,-96.8645455825837,5,2001
61,149,0.0,28.153557451969128,-96.86418754675559,5,2001
62,149,18.0,28.17159902371498,-96.86382918006778,5,2001
63,149,35.0,28.189640543712454,-96.8634704822839,5,2001
64,149,0.0,28.13519708256211,-96.8441931947757,5,2001
65,149,0.0,28.15323846574714,-96.84383175302803,5,2001
66,149,8.0,28.171279797129614,-96.84346997727648,5,2001
67,149,43.0,28.189321076685104,-96.84310786728247,5,2001
68,149,0.0,28.13487531794817,-96.82384114073321,5,2001
69,149,8.0,28.152916458574143,-96.82347629330428,5,2001
70,149,7.0,28.17095754731831,-96.82311110872763,5,2001
71,149,0.0,28.18899858415615,-96.82274558676241,5,2001
72,149,8.0,28.152591430634963,-96.80312117072819,5,2001
73,149,3.0,28.170632274466065,-96.8027525775673,5,2001
74,149,6.0,28.18867306631076,-96.80238364387206,5,2001
75,149,0.0,28.206713806144464,-96.80201436939903,5,2001
76,149,10.0,28.17030397875962,-96.7823943869413,5,2001
77,149,14.0,28.188344523335857,-96.78202204175946,5,2001
78,149,0.0,28.20638501582018,-96.78164935265214,5,2001
79,149,4.0,28.16997266038744,-96.76203653999507,5,2001
80,149,24.0,28.188012955420085,-96.7616607835723,5,2001
81,149,0.0,28.20605319827917,-96.76128468007666,5,2001
82,149,55.0,28.187678362753832,-96.74129987245796,5,2001
83,149,0.0,28.205718353711987,-96.74092035482225,5,2001
84,149,0.0,28.20538048231092,-96.72055638003818,5,2001
85,149,0.0,28.223079012152006,-96.69980605694319,5,2001
86,149,10.0,28.222734828855433,-96.67943937601618,5,2001
0,150,0.0,28.011651425604875,-97.0296832434519,1,2001
1,150,0.0,28.029695246655514,-97.02935459706651,1,2001
2,150,0.0,28.04773901674972,-97.02902564650692,1,2001
3,150,0.0,28.065782735863724,-97.02869639155665,1,2001
4,150,0.0,28.08382640397377,-97.02836683199894,1,2001
5,150,0.0,28.10187002105609,-97.02803696761677,1,2001
6,150,0.0,28.11991358708697,-97.02770679819281,1,2001
7,150,0.0,28.13795710204268,-97.02737632350946,1,2001
8,150,0.0,28.15600056589953,-97.02704554334882,1,2001
9,150,0.0,28.02940198756349,-97.0090200327905,1,2001
10,150,0.0,28.04744553600651,-97.00868769331778,1,2001
11,150,0.0,28.06548903339722,-97.00835504632123,1,2001
12,150,0.0,28.08353247971177,-97.00802209158184,1,2001
13,150,0.0,28.101575874926333,-97.00768882888035,1,2001
14,150,0.0,28.119619219017096,-97.00735525799723,1,2001
15,150,0.0,28.13766251196026,-97.00702137871264,1,2001
16,150,2.0,28.15570575373205,-97.00668719080643,1,2001
17,150,0.0,28.173748944308688,-97.00635269405822,1,2001
18,150,0.0,28.04714904653821,-96.98835004765245,1,2001
